CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
203850,0,55,Self Enquiry,1,17,Small Business,Female,4,4,Deluxe,5,Single,8,1,1,0,1,Manager,23118
202463,0,39,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Single,7,1,4,0,2,Executive,22622
200878,0,42,Company Invited,2,8,Small Business,Male,3,1,Deluxe,5,Divorced,1,0,2,0,2,Manager,21272
202482,0,37,Self Enquiry,1,12,Salaried,Female,3,5,Basic,5,Divorced,2,1,2,1,1,Executive,98678
203074,0,23,Self Enquiry,1,7,Salaried,Male,3,5,Deluxe,3,Divorced,8,0,2,1,1,Manager,23453
203002,0,33,Company Invited,1,31,Salaried,Male,4,4,Deluxe,3,Divorced,3,0,4,1,1,Manager,23987
201261,0,38,Self Enquiry,1,24,Small Business,Male,2,5,Deluxe,3,Married,4,1,5,0,1,Manager,20811
203187,0,60,Self Enquiry,1,9,Salaried,Female,4,5,Super Deluxe,3,Single,5,1,5,0,3,AVP,32404
202230,0,53,Company Invited,3,8,Small Business,Female,2,4,Standard,4,Married,3,0,1,1,0,Senior Manager,22525
203643,0,37,Self Enquiry,1,33,Salaried,Male,4,4,Deluxe,3,Married,8,0,3,1,1,Manager,24025
201897,0,60,Company Invited,3,34,Small Business,Female,3,4,Standard,5,Married,5,0,1,1,0,Senior Manager,25266
204738,0,43,Self Enquiry,1,36,Small Business,Male,3,6,Deluxe,3,Single,6,0,3,1,2,Manager,22950
201480,0,35,Self Enquiry,1,22,Small Business,Male,2,1,Basic,4,Married,1,0,4,1,1,Executive,17426
204557,0,43,Self Enquiry,1,10,Salaried,Female,4,2,Deluxe,3,Married,4,1,5,1,1,Manager,23909
200994,0,52,Company Invited,1,34,Small Business,Female,2,1,Super Deluxe,3,Divorced,3,1,4,0,0,AVP,28247
203104,1,59,Company Invited,1,9,Salaried,Male,3,5,Basic,3,Married,2,1,2,0,1,Executive,21058
200009,0,36,Self Enquiry,1,33,Small Business,Male,3,3,Deluxe,3,Divorced,7,0,3,1,0,Manager,20237
203825,0,29,Company Invited,1,23,Small Business,Male,3,4,Basic,3,Single,3,0,3,0,1,Executive,20822
